id,data,cultura_nome,preco_fecho_kg
1,2017-01-02,Soja,1.693810263135281
2,2017-01-03,Soja,1.6845111825693064
3,2017-01-04,Soja,1.6569532924931842
4,2017-01-05,Soja,1.6497089517650565
5,2017-01-06,Soja,1.66457951276296
6,2017-01-09,Soja,1.647079645027493
7,2017-01-10,Soja,1.6473459400652546
8,2017-01-11,Soja,1.6488796985604033
9,2017-01-12,Soja,1.64267596437537
10,2017-01-13,Soja,1.6631480284285118
11,2017-01-16,Soja,1.6822525990542379
12,2017-01-17,Soja,1.6631373805202305
13,2017-01-18,Soja,1.671505908136287
14,2017-01-19,Soja,1.6510263311194568
15,2017-01-20,Soja,1.6391036660804656
16,2017-01-23,Soja,1.6280757440351614
17,2017-01-24,Soja,1.6285072309400426
18,2017-01-25,Soja,1.6243228231928057
19,2017-01-26,Soja,1.6294325024519438
20,2017-01-27,Soja,1.6078029291773628
21,2017-01-30,Soja,1.5931782136982011
22,2017-01-31,Soja,1.6103318648948157
23,2017-02-01,Soja,1.5973505917440014
24,2017-02-02,Soja,1.594338654388946
25,2017-02-03,Soja,1.5910857385543558
26,2017-02-06,Soja,1.5889754517152468
27,2017-02-07,Soja,1.5890993138712555
28,2017-02-08,Soja,1.5867111912368044
29,2017-02-09,Soja,1.5919302728972629
30,2017-02-10,Soja,1.5802933149516933
31,2017-02-13,Soja,1.5788970806259643
32,2017-02-14,Soja,1.5642255739826176
33,2017-02-15,Soja,1.5537205152386084
34,2017-02-16,Soja,1.568468246651728
35,2017-02-17,Soja,1.5756425732588077
36,2017-02-20,Soja,1.563779587351573
37,2017-02-21,Soja,1.5671866051117416
38,2017-02-22,Soja,1.5530029074792198
39,2017-02-23,Soja,1.550639510772414
40,2017-02-24,Soja,1.574543867730996
41,2017-02-27,Soja,1.5778002424480666
42,2017-02-28,Soja,1.5800947173772226
43,2017-03-01,Soja,1.5729856747183473
44,2017-03-02,Soja,1.609193168474176
45,2017-03-03,Soja,1.587379271784975
46,2017-03-06,Soja,1.593591666916264
47,2017-03-07,Soja,1.5803255885530634
48,2017-03-08,Soja,1.6048089827813121
49,2017-03-09,Soja,1.6233632653657477
50,2017-03-10,Soja,1.5971391945785067
51,2017-03-13,Soja,1.6025229983972753
52,2017-03-14,Soja,1.6111462737725168
53,2017-03-15,Soja,1.5829357987360235
54,2017-03-16,Soja,1.594717345273364
55,2017-03-17,Soja,1.5785505566691638
56,2017-03-20,Soja,1.567793122267203
57,2017-03-21,Soja,1.5727732170718005
58,2017-03-22,Soja,1.5724427680569084
59,2017-03-23,Soja,1.5990601438449772
60,2017-03-24,Soja,1.5831867443133585
61,2017-03-27,Soja,1.5937099906457708
62,2017-03-28,Soja,1.600850444964928
63,2017-03-29,Soja,1.5899545127434949
64,2017-03-30,Soja,1.6072324359669568
65,2017-03-31,Soja,1.5925995945824976
66,2017-04-03,Soja,1.5917422882648338
67,2017-04-04,Soja,1.579589553512519
68,2017-04-05,Soja,1.594199522622298
69,2017-04-06,Soja,1.6095570938039727
70,2017-04-07,Soja,1.6124788429541848
71,2017-04-10,Soja,1.6058910637526522
72,2017-04-11,Soja,1.598270278934071
73,2017-04-12,Soja,1.593564813694481
74,2017-04-13,Soja,1.6022748833261393
75,2017-04-14,Soja,1.6032938259208283
76,2017-04-17,Soja,1.578882116922002
77,2017-04-18,Soja,1.584906671384016
78,2017-04-19,Soja,1.6078564105704611
79,2017-04-20,Soja,1.6065321130512282
80,2017-04-21,Soja,1.6082491207742828
81,2017-04-24,Soja,1.5954608324773738
82,2017-04-25,Soja,1.6004140754861997
83,2017-04-26,Soja,1.6116070188790181
84,2017-04-27,Soja,1.6128750685411375
85,2017-04-28,Soja,1.6062614361648944
86,2017-05-01,Soja,1.6133939953643455
87,2017-05-02,Soja,1.5984939390732755
88,2017-05-03,Soja,1.6013535081902506
89,2017-05-04,Soja,1.6126186337628376
90,2017-05-05,Soja,1.6050924583374324
91,2017-05-08,Soja,1.6209277822586061
92,2017-05-09,Soja,1.6145112707768245
93,2017-05-10,Soja,1.6041554111935366
94,2017-05-11,Soja,1.5942594597746895
95,2017-05-12,Soja,1.5841021980292846
96,2017-05-15,Soja,1.5701637972753637
97,2017-05-16,Soja,1.5604344821607956
98,2017-05-17,Soja,1.578485627899324
99,2017-05-18,Soja,1.6994016764697815
100,2017-05-19,Soja,1.6341142143399487
101,2017-05-22,Soja,1.647848643416467
102,2017-05-23,Soja,1.652582734243263
103,2017-05-24,Soja,1.656388303478223
104,2017-05-25,Soja,1.6579739060571776
105,2017-05-26,Soja,1.655040950251059
106,2017-05-29,Soja,1.6518342612276167
107,2017-05-30,Soja,1.6527917656330124
108,2017-05-31,Soja,1.6365688596022772
109,2017-06-01,Soja,1.6456037129712955
110,2017-06-02,Soja,1.644317385730845
111,2017-06-05,Soja,1.6717353699170518
112,2017-06-06,Soja,1.661089623408919
113,2017-06-07,Soja,1.656207103790355
114,2017-06-08,Soja,1.6512678873380153
115,2017-06-09,Soja,1.6707020053915664
116,2017-06-12,Soja,1.6830087087872139
117,2017-06-13,Soja,1.6816933990829328
118,2017-06-14,Soja,1.6587058939194113
119,2017-06-15,Soja,1.6579683928873599
120,2017-06-16,Soja,1.67007212230921
121,2017-06-19,Soja,1.6703554651215076
122,2017-06-20,Soja,1.6927603182166904
